scen,from,to,lid,year,level,marginal,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j,order_from,order_to,islf,isrc,isosg
1,104151,113265,64,2051,2117.2598962247353,0.0,104151,42.791563914,-71.3768380679999,101,345.0,LAWRENCE RD,6,0,0.0,0,0,ISONE,42.360306919,-71.7759062629999,101,345.0,WACHUSETT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104151,113986,66,2051,457.36380445559524,0.0,104151,42.791563914,-71.3768380679999,101,345.0,LAWRENCE RD,6,0,0.0,0,0,ISONE,42.568438524,-71.5303919819999,101,115.0,SANDY POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104162,104167,67,2046,349.70039878835274,0.0,104162,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,42.37361625,-72.5069978439999,101,345.0,AMHERST,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104162,104167,67,2051,3015.1488260132846,0.0,104162,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,42.37361625,-72.5069978439999,101,345.0,AMHERST,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104167,104175,71,2046,245.25310454671717,0.0,104167,42.37361625,-72.5069978439999,101,345.0,AMHERST,6,0,0.0,0,0,ISONE,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104167,104175,71,2051,2963.0816142007357,0.0,104167,42.37361625,-72.5069978439999,101,345.0,AMHERST,6,0,0.0,0,0,ISONE,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,104494,72,2051,31.445672959809524,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,107010,73,2051,162.58031487580797,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,43.429089741,-72.6604433549999,101,345.0,COOLIDGE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,107050,74,2051,847.6784192537851,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,42.968149453,-72.6523113649999,101,345.0,NEWFANE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,113001,75,2051,44.39097152627535,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,42.684077683,-72.9498932499999,101,230.0,BEAR SWAMP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,116009,78,2046,166.77639384913812,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,42.611172898,-72.4684024839999,101,345.0,NORTHFLD MT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104175,116009,78,2051,2334.705961370341,0.0,104175,42.8002294570001,-72.1483631259999,101,345.0,FITZWILLIAM,6,0,0.0,0,0,ISONE,42.611172898,-72.4684024839999,101,345.0,NORTHFLD MT,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104494,106013,81,2051,177.20077486730355,0.0,104494,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE,42.8739,-71.43917,101,230.0,N.LITCHFLD2,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104494,107010,82,2051,18.601401987511498,0.0,104494,43.140607974,-71.4700743449999,101,115.0,MERRIMACK-1,6,0,0.0,0,0,ISONE,43.429089741,-72.6604433549999,101,345.0,COOLIDGE,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,107010,116009,100,2051,482.5402970877868,0.0,107010,43.429089741,-72.6604433549999,101,345.0,COOLIDGE,6,0,0.0,0,0,ISONE,42.611172898,-72.4684024839999,101,345.0,NORTHFLD MT,6,0,0.0,0,0,ISONE,6,6,False,False,False
